forcing creation of server ID: 46
[07-02-2017 19:33:08.563168][ startup] CONSTRUCTED SERVER
[07-02-2017 19:33:08.569548][ startup] MAIN LOOP START
[07-02-2017 19:33:08.569655][ startup] SENDER START
[07-02-2017 19:33:08.569768][ startup] RECEIVER START
[07-02-2017 19:33:08.569832][ startup] HANDLE RECEIVE START
[07-02-2017 19:33:15.176212][    info] CLIENT CONNECTED: 74
[07-02-2017 19:33:32.046108][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.070344][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.070442][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.094124][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.094194][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.119261][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.119334][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.143273][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.143479][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.163831][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.164014][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.188376][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.188451][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.210315][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.210401][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.234078][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.234149][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.254724][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.254804][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.278910][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.278974][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.302203][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.302344][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.323650][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.323867][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.347814][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.348043][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.370406][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.370476][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.393265][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.393354][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.416437][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.416539][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.438717][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.438784][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.460251][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.460405][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.480655][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.480749][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.502369][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.502435][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.523055][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.523231][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.548340][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.548416][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.572648][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.572720][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.593244][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.593348][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.614638][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.614743][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.637380][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.637475][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.658165][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.658235][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.678675][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.678861][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.702433][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.702722][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.724003][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.724078][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.745554][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.745633][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.770409][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.770513][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.793778][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.793848][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.815798][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.815868][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.837103][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.837212][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.862225][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.862293][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.883684][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.883753][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.908973][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.909143][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.930364][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.930492][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.952807][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.952875][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.974714][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.974816][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.998571][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.998647][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.022652][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.022720][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.046539][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.046612][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.070425][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.070493][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.093263][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.093401][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.116683][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.116759][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.141689][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.141797][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.165877][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.165949][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.190627][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.190696][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.211727][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.211793][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.234663][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.234819][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.259827][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.259937][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.280156][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.280290][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.303795][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.303862][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.324588][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.324661][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.348128][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.348239][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.370316][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.370409][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.390642][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.390709][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.414625][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.414754][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.435241][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.435313][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.456124][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.456199][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.477878][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.477999][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.502611][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.502808][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.523527][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.523601][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.547267][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.547360][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.567721][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.567799][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.591667][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.591801][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.616202][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.616267][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.637181][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.637308][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.657925][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.657995][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.678351][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.678423][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.701142][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.701244][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.722287][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.722353][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.742747][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.742879][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.763564][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:33.763630][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:33.786891][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
