forcing creation of server ID: 45
[06-25-2017 13:11:51.702041][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702503][ startup] SENDER START
[06-25-2017 13:11:51.702522][ startup] MAIN LOOP START
[06-25-2017 13:11:51.702522][ startup] RECEIVER START
[06-25-2017 13:11:51.702559][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:58.215015][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:31.029117][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.052760][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.052842][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.078432][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.078553][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.103910][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.103993][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.127373][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.127464][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.153084][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.153181][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.177332][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.177420][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.202268][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.202363][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.224524][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.224612][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.249269][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.249347][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.275061][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.275155][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.300451][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.300540][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.326154][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.326256][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.347297][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.347380][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.370293][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.370375][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.393449][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.393544][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.419553][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.419641][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.445436][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.445530][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.466511][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.466597][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.489727][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.489812][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.512612][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.512678][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.537330][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.537419][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.560478][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.560569][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.584634][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.584702][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.606777][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.606872][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.630901][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.630987][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.654539][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.654650][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.678916][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.678987][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.703902][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.703994][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.729040][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.729116][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.754074][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.754158][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.779222][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.779297][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.804022][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.804111][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.827750][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.827842][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.852235][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.852313][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.873874][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.873954][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.898036][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.898110][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.919337][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.919423][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.943078][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.943174][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.967250][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.967341][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.988420][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.988497][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.013912][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.013984][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.035762][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.035834][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.058223][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.058310][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.080520][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.080615][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.105999][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.106088][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.129253][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.129356][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.150546][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.150628][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.174484][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.174562][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.196098][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.196191][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.219614][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.219691][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.244042][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.244129][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.267186][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.267275][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.288676][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.288767][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.313857][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.313947][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.336578][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.336648][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.360600][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.360670][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.383563][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.383635][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.407344][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.407437][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.428945][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.429019][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.453946][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.454040][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.476028][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.476097][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.501312][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:32.501400][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:32.524145][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
