forcing creation of server ID: 47
[06-25-2017 13:11:51.700655][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.701482][ startup] MAIN LOOP START
[06-25-2017 13:11:51.701566][ startup] SENDER START
[06-25-2017 13:11:51.701710][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.701810][ startup] RECEIVER START
[06-25-2017 13:11:58.215289][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:30.978092][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.978170][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.003600][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.003692][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.028638][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.028756][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.052452][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.052541][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.077999][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.078095][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.103585][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.103679][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.126996][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.127080][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.152695][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.152880][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.177019][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.177117][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.201940][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.202028][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.224192][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:31.224286][   error] COULDN'T FIND BUFFER targetlocation
