forcing creation of server ID: 44
[06-25-2017 13:11:51.701700][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702291][ startup] SENDER START
[06-25-2017 13:11:51.702339][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.702323][ startup] RECEIVER START
[06-25-2017 13:11:51.702371][ startup] MAIN LOOP START
[06-25-2017 13:11:58.215463][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:31.325681][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.325780][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.346863][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.346959][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.369832][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.369923][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.392959][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.393060][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.419120][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.419225][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.445008][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.445111][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.466060][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.466155][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.489304][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.489398][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.512317][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.512409][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.536889][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.536984][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.559956][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.560057][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.584309][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.584411][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.606034][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.606168][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.630411][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.630512][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.653891][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.653985][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.678475][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.678572][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.703462][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.703566][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.728572][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
